0.000000,1.000000
0.062832,0.998027
0.125664,0.992115
0.188496,0.982287
0.251327,0.968583
0.314159,0.951057
0.376991,0.929776
0.439823,0.904827
0.502655,0.876307
0.565487,0.844328
0.628319,0.809017
0.691150,0.770513
0.753982,0.728969
0.816814,0.684547
0.879646,0.637424
0.942478,0.587785
1.005310,0.535827
1.068142,0.481754
1.130973,0.425779
1.193805,0.368125
1.256637,0.309017
1.319469,0.248690
1.382301,0.187381
1.445133,0.125333
1.507964,0.062791
1.570796,0.000000
1.633628,-0.062791
1.696460,-0.125333
1.759292,-0.187381
1.822124,-0.248690
1.884956,-0.309017
1.947787,-0.368125
2.010619,-0.425779
2.073451,-0.481754
2.136283,-0.535827
2.199115,-0.587785
2.261947,-0.637424
2.324779,-0.684547
2.387610,-0.728969
2.450442,-0.770513
2.513274,-0.809017
2.576106,-0.844328
2.638938,-0.876307
2.701770,-0.904827
2.764602,-0.929776
2.827433,-0.951057
2.890265,-0.968583
2.953097,-0.982287
3.015929,-0.992115
3.078761,-0.998027
3.141593,-1.000000
3.204425,-0.998027
3.267256,-0.992115
3.330088,-0.982287
3.392920,-0.968583
3.455752,-0.951057
3.518584,-0.929776
3.581416,-0.904827
3.644247,-0.876307
3.707079,-0.844328
3.769911,-0.809017
3.832743,-0.770513
3.895575,-0.728969
3.958407,-0.684547
4.021239,-0.637424
4.084070,-0.587785
4.146902,-0.535827
4.209734,-0.481754
4.272566,-0.425779
4.335398,-0.368125
4.398230,-0.309017
4.461062,-0.248690
4.523893,-0.187381
4.586725,-0.125333
4.649557,-0.062791
4.712389,-0.000000
4.775221,0.062791
4.838053,0.125333
4.900885,0.187381
4.963716,0.248690
5.026548,0.309017
5.089380,0.368125
5.152212,0.425779
5.215044,0.481754
5.277876,0.535827
5.340708,0.587785
5.403539,0.637424
5.466371,0.684547
5.529203,0.728969
5.592035,0.770513
5.654867,0.809017
5.717699,0.844328
5.780530,0.876307
5.843362,0.904827
5.906194,0.929776
5.969026,0.951057
6.031858,0.968583
6.094690,0.982287
6.157522,0.992115
6.220353,0.998027
